compound,icsd,sg,sgname,T11,T22,T33,T12,T13,T23,kappaLmin,kappaLmax,type
Mo1Te2,icsd_014349,11,monoclinic,3.49,3.26,0.81,0.00,1.26,0.00,0.31,3.99,vdW
Mo1Te2,icsd_024155,194,hexagonal,9.84,9.84,1.86,0.00,0.00,0.00,1.86,9.84,vdW
N1Sr2,icsd_411612,166,trigonal,15.06,15.06,5.61,0.00,0.00,0.00,5.61,15.06,vdW
N2Zr1,icsd_262746,164,trigonal,135.24,135.24,117.60,0.00,0.00,0.00,117.60,135.24,vdW
N4Si3,icsd_156337,62,orthorhombic,79.63,79.92,156.47,0.00,0.00,0.00,79.63,156.47,vdW
Nb1P1,icsd_076027,141,tetragonal,124.13,124.13,62.98,0.00,0.00,0.00,62.98,124.13,vdW
Nb1S2,icsd_024755,166,trigonal,4.12,4.12,44.02,0.00,0.00,0.00,4.12,44.02,vdW
Nb1S2,icsd_043696,160,trigonal,57.31,57.31,2.86,0.00,0.00,0.00,2.86,57.31,vdW
Nb1S2,icsd_068968,36,orthorhombic,17.82,17.86,1.05,0.00,0.00,0.00,1.05,17.86,vdW
Nb1S3,icsd_645316,11,monoclinic,1.97,6.11,2.73,0.00,0.42,0.00,1.78,6.11,vdW
Nb1S3,icsd_645323,2,triclinic,7.68,10.70,1.91,3.15,2.47,0.00,0.86,12.83,vdW
Nb1Se2,icsd_016305,194,hexagonal,4.74,4.74,1.54,0.00,0.00,0.00,1.54,4.74,vdW
Nb1Se2,icsd_018129,194,hexagonal,15.80,15.80,2.89,0.00,0.00,0.00,2.89,15.80,vdW
Nb1Se2,icsd_018131,160,trigonal,25.77,25.77,3.87,0.00,0.00,0.00,3.87,25.77,vdW
Nb1Se2,icsd_018132,187,hexagonal,7.27,7.27,0.95,0.00,0.00,0.00,0.95,7.27,vdW
Nb1Se2,icsd_076576,164,trigonal,18.66,18.66,2.44,0.00,0.00,0.00,2.44,18.66,vdW
